罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-04-18,9,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-04-30,7,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-05-25,18,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-07-19,8,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-07-23,17,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-08-02,10,その他,その他,10歳代,大学生,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-08-11,13,一戸建住宅,その他,10歳代,高校生,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-09-09,7,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-10-14,7,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-10-29,20,駐車（輪）場,駐車（輪）場,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-11-11,9,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-11-13,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-11-14,8,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-11-22,18,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央１丁目,2022-12-03,18,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央２丁目,2022-10-05,18,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央３丁目,2022-03-19,10,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央３丁目,2022-04-13,13,その他,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央３丁目,2022-08-31,18,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央３丁目,2022-11-16,11,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央４丁目,2022-06-17,18,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央４丁目,2022-08-15,20,４階建て以上共同住宅,駐車（輪）場,65-69歳,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,中央４丁目,2022-10-27,15,一戸建住宅,その他,30歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ１丁目,2022-03-14,10,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ１丁目,2022-03-14,15,その他,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ１丁目,2022-07-01,0,その他,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ１丁目,2022-07-04,10,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ１丁目,2022-07-27,15,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ１丁目,2022-08-28,18,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ１丁目,2022-09-04,17,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ１丁目,2022-09-05,13,その他,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ１丁目,2022-09-11,14,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ１丁目,2022-11-04,10,その他,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ１丁目,2022-11-14,10,その他,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ１丁目,2022-12-06,18,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ１丁目,2022-12-10,13,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷中央駅前交番,112372,埼玉県,三郷市,ピアラシティ２丁目,2022-07-18,6,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,後谷,2022-05-13,18,その他の住宅（３階建て以下共同住宅等）,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,仁蔵,2022-12-10,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,彦成４丁目,2022-02-01,8,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,茂田井,2022-03-03,18,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,茂田井,2022-09-23,8,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,茂田井,2022-09-23,8,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田１丁目,2022-01-19,20,４階建て以上共同住宅,その他,50歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田１丁目,2022-03-10,11,その他,その他,10歳代,高校生,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田１丁目,2022-03-19,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田１丁目,2022-05-19,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,60-64歳,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田１丁目,2022-06-11,5,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田１丁目,2022-06-22,17,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田１丁目,2022-11-02,22,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田２丁目,2022-04-02,20,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田２丁目,2022-04-06,21,駐車（輪）場,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田２丁目,2022-05-17,10,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田２丁目,2022-06-04,9,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田２丁目,2022-07-20,11,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田２丁目,2022-08-24,8,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田２丁目,2022-08-29,9,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田２丁目,2022-09-04,17,一戸建住宅,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田２丁目,2022-12-10,21,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田２丁目,2022-12-26,21,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田３丁目,2022-01-12,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田３丁目,2022-03-24,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田３丁目,2022-10-31,13,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田３丁目,2022-12-25,16,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田４丁目,2022-04-01,20,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田４丁目,2022-07-15,10,４階建て以上共同住宅,駐車（輪）場,60-64歳,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田４丁目,2022-08-29,11,その他,その他,70歳以上,その他,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田５丁目,2022-02-19,13,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田６丁目,2022-02-24,3,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田６丁目,2022-03-05,14,駐車（輪）場,駐車（輪）場,10歳未満,小学生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田６丁目,2022-07-07,17,その他の住宅（３階建て以下共同住宅等）,その他,40歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田６丁目,2022-08-05,17,一戸建住宅,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田６丁目,2022-08-20,18,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田６丁目,2022-09-23,8,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田６丁目,2022-10-31,12,道路上,その他,50歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田７丁目,2022-05-26,15,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田７丁目,2022-07-28,18,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田８丁目,2022-04-27,13,一戸建住宅,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,早稲田８丁目,2022-05-24,17,道路上,その他,40歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷１丁目,2022-01-06,8,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷１丁目,2022-01-25,9,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷１丁目,2022-01-31,14,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷１丁目,2022-03-09,10,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷１丁目,2022-04-02,19,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷１丁目,2022-05-27,19,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷１丁目,2022-07-02,18,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷１丁目,2022-10-01,14,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷１丁目,2022-10-27,8,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷１丁目,2022-11-02,16,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷１丁目,2022-12-25,20,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷２丁目,2022-03-16,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷２丁目,2022-04-02,18,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷２丁目,2022-05-20,20,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷２丁目,2022-05-28,15,その他,その他,50歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷２丁目,2022-12-21,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷３丁目,2022-04-30,23,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷３丁目,2022-05-08,14,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,三郷３丁目,2022-10-14,13,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,吉川,三郷駅前交番,112372,埼玉県,三郷市,新三郷ららシティ１丁目,2022-12-09,22,一戸建住宅,駐車（輪）場,10歳代,中学生,施錠せず
